Pavg,iid,tmstp
292.408745,42,2013-09-03
226.29369333333332,42,2013-09-03
977.7015166666669,42,2013-09-03
1622.8433666666667,42,2013-09-03
1282.5978,42,2013-09-03
425.67333333333335,42,2013-09-03
601.3705666666667,42,2013-09-03
1606.91625,42,2013-09-03
987.8555833333334,42,2013-09-03
662.9850833333335,42,2013-09-03
561.7983333333334,42,2013-09-03
558.9961333333334,42,2013-09-03
360.84369999999996,42,2013-09-04
345.07336666666663,42,2013-09-04
343.65155,42,2013-09-04
330.66685,42,2013-09-04
311.1360833333334,42,2013-09-04
230.76251,42,2013-09-04
237.36807666666667,42,2013-09-04
349.45748333333336,42,2013-09-04
911.00925,42,2013-09-04
1072.92265,42,2013-09-04
342.3923666666667,42,2013-09-04
398.3465333333334,42,2013-09-04
620.3658166666667,42,2013-09-04
586.5594,42,2013-09-04
547.2501166666666,42,2013-09-04
1068.5963333333334,42,2013-09-04
1552.854916666667,42,2013-09-04
645.2557666666669,42,2013-09-04
637.29435,42,2013-09-04
642.3207,42,2013-09-04
1300.7203166666666,42,2013-09-04
1349.0054166666666,42,2013-09-04
596.8312166666668,42,2013-09-04
479.43101666666666,42,2013-09-04
321.5924666666667,42,2013-09-05
282.6959366666667,42,2013-09-05
262.72642666666667,42,2013-09-05
327.6855833333332,42,2013-09-05
332.76565,42,2013-09-05
227.52536666666668,42,2013-09-05
283.50505,42,2013-09-05
345.14352166666674,42,2013-09-05
214.86338999999998,42,2013-09-05
894.49075,42,2013-09-05
281.54361166666666,42,2013-09-05
2035.7755499999998,42,2013-09-05
1859.2865666666667,42,2013-09-05
768.6555999999999,42,2013-09-05
416.63284999999996,42,2013-09-05
701.51705,42,2013-09-05
360.82895,42,2013-09-05
537.7742833333334,42,2013-09-05
392.7292166666668,42,2013-09-05
1409.5056166666668,42,2013-09-05
823.2544499999999,42,2013-09-05
683.7473833333333,42,2013-09-05
544.80525,42,2013-09-05
467.6906000000001,42,2013-09-05
353.91943333333336,42,2013-09-06
359.0284000000001,42,2013-09-06
333.84264999999994,42,2013-09-06
312.32490833333327,42,2013-09-06
254.44163333333336,42,2013-09-06
226.319775,42,2013-09-06
272.5907866666667,42,2013-09-06
272.02332666666666,42,2013-09-06
263.39221833333335,42,2013-09-06
710.7020166666666,42,2013-09-06
636.2022166666667,42,2013-09-06
440.5689333333333,42,2013-09-06
403.60799999999995,42,2013-09-06
708.6041666666665,42,2013-09-06
477.8385,42,2013-09-06
414.1441833333334,42,2013-09-06
317.73023333333333,42,2013-09-06
327.5142166666667,42,2013-09-06
460.04141666666675,42,2013-09-06
561.5109166666666,42,2013-09-06
1278.7063666666666,42,2013-09-06
1400.1093166666665,42,2013-09-06
594.1612833333332,42,2013-09-06
511.8021666666666,42,2013-09-06
366.6485166666667,42,2013-09-07
315.6606,42,2013-09-07
313.77661666666665,42,2013-09-07
312.9031116666667,42,2013-09-07
325.21229999999997,42,2013-09-07
308.0294333333333,42,2013-09-07
215.1193633333333,42,2013-09-07
337.5935666666667,42,2013-09-07
237.72490333333332,42,2013-09-07
452.70911666666666,42,2013-09-07
501.3034333333333,42,2013-09-07
660.6655000000002,42,2013-09-07
466.13038333333327,42,2013-09-07
511.78855,42,2013-09-07
380.5783666666666,42,2013-09-07
317.8394333333333,42,2013-09-07
308.4863166666666,42,2013-09-07
260.07935833333335,42,2013-09-07
255.86764499999998,42,2013-09-07
204.81729166666665,42,2013-09-07
265.44179333333335,42,2013-09-07
250.11188333333334,42,2013-09-07
201.03069666666664,42,2013-09-07
207.44364166666668,42,2013-09-07
256.7313216666667,42,2013-09-08
255.69758999999996,42,2013-09-08
308.489045,42,2013-09-08
292.66386333333327,42,2013-09-08
238.57504999999998,42,2013-09-08
211.85679166666665,42,2013-09-08
209.02668,42,2013-09-08
219.07115166666662,42,2013-09-08
246.38807833333334,42,2013-09-08
244.13532666666666,42,2013-09-08
223.14281833333334,42,2013-09-08
207.1806433333333,42,2013-09-08
209.13856000000004,42,2013-09-08
221.94428333333332,42,2013-09-08
245.40079333333333,42,2013-09-08
242.88836833333337,42,2013-09-08
236.08378166666668,42,2013-09-08
211.21319666666668,42,2013-09-08
225.25168666666664,42,2013-09-08
538.6514833333333,42,2013-09-08
656.7653666666669,42,2013-09-08
645.97355,42,2013-09-08
738.0077833333332,42,2013-09-08
375.3867000000001,42,2013-09-08
304.4028550000001,42,2013-09-09
295.60088333333334,42,2013-09-09
214.12819333333334,42,2013-09-09
208.40692833333338,42,2013-09-09
259.76829166666664,42,2013-09-09
263.88697666666667,42,2013-09-09
205.76538166666663,42,2013-09-09
318.15605,42,2013-09-09
358.3729666666667,42,2013-09-09
405.2651333333334,42,2013-09-09
525.6156666666666,42,2013-09-09
530.68225,42,2013-09-09
592.1482333333333,42,2013-09-09
570.9133333333333,42,2013-09-09
494.0492833333334,42,2013-09-09
